OMRÅDE;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;105 år;Gift/separeret;2020K1;0
Hele landet;105 år;Ugift;2020K1;2
Hele landet;106 år;Gift/separeret;2020K1;1
Hele landet;106 år;Ugift;2020K1;0
Hele landet;107 år;Gift/separeret;2020K1;0
Hele landet;107 år;Ugift;2020K1;1
Hele landet;108 år;Gift/separeret;2020K1;0
Hele landet;108 år;Ugift;2020K1;0
Hele landet;109 år;Gift/separeret;2020K1;0
Hele landet;109 år;Ugift;2020K1;0
Hele landet;110 år;Gift/separeret;2020K1;0
Hele landet;110 år;Ugift;2020K1;0
Hele landet;111 år;Gift/separeret;2020K1;0
Hele landet;111 år;Ugift;2020K1;0
Hele landet;112 år;Gift/separeret;2020K1;0
Hele landet;112 år;Ugift;2020K1;0
Hele landet;113 år;Gift/separeret;2020K1;0
Hele landet;113 år;Ugift;2020K1;0
Hele landet;114 år;Gift/separeret;2020K1;0
Hele landet;114 år;Ugift;2020K1;0
Hele landet;115 år;Gift/separeret;2020K1;0
Hele landet;115 år;Ugift;2020K1;0
Hele landet;116 år;Gift/separeret;2020K1;0
Hele landet;116 år;Ugift;2020K1;0
Hele landet;117 år;Gift/separeret;2020K1;0
Hele landet;117 år;Ugift;2020K1;0
Hele landet;118 år;Gift/separeret;2020K1;0
Hele landet;118 år;Ugift;2020K1;0
Hele landet;119 år;Gift/separeret;2020K1;0
Hele landet;119 år;Ugift;2020K1;0
Hele landet;120 år;Gift/separeret;2020K1;0
Hele landet;120 år;Ugift;2020K1;0
Hele landet;121 år;Gift/separeret;2020K1;0
Hele landet;121 år;Ugift;2020K1;0
Hele landet;122 år;Gift/separeret;2020K1;0
Hele landet;122 år;Ugift;2020K1;0
Hele landet;123 år;Gift/separeret;2020K1;0
Hele landet;123 år;Ugift;2020K1;0
Hele landet;124 år;Gift/separeret;2020K1;0
Hele landet;124 år;Ugift;2020K1;0
Hele landet;125 år;Gift/separeret;2020K1;0
Hele landet;125 år;Ugift;2020K1;0
